ablation,question,result,note
1. raw-sales vs demand-quantile model,does training on donor proxies beat training on visible sales?,"mean cost (equal costs, matched cells): raw-sales point+residual 0.4075 vs demand-quantile+conformal 0.3984",lower is better; both scored on identical exact final donor rows
2. uncalibrated vs pooled-conformal quantiles,does calibration move coverage toward nominal on the final week?,mean coverage at τ=0.90 (matched cells): uncalibrated 0.8121 -> conformal 0.8832 (nominal 0.90); mean cost 0.4061 -> 0.3984,
3. global calibration vs category x sales-tier pooling,does finer pooling help on the final week?,coverage at τ=0.90 (mean over A/B/C): global 0.8856 vs pooled 0.8832,
4. A-only training vs mechanism-specific training,"if only mechanism A were ever trained, what would ordering cost?",mean cost (equal costs): mechanism-specific diagonal 0.3984 vs A-trained across all three histories 0.4012,
5. visible-history TFT vs TimesNet->TFT,does neural recovery of hidden hours improve the next-day donor forecast?,"mean cost (equal costs, matched cells, deep subsample): direct TFT 0.4999 vs TimesNet->TFT 0.4690","deep subsample of 600 series, not the full 5000-series population"
6. seasonal naive vs learned baselines,is the learned machinery worth it against a weekday repeat?,mean cost (equal costs): seasonal naive+residual 0.4678 vs demand-quantile+conformal 0.3984,
7. short lag set vs full lag set,would a reduced feature set do as well?,"NOT AVAILABLE: Phase 0-4 shipped only full-lag models; fitting a reduced-lag model now would create a model that the protocol lock does not cover, so it is left unrun rather than estimated.",
8. static calibration vs adaptive diagnostic,does the rolling alpha change ordering cost?,mean cost (equal costs): static conformal 0.3984 vs adaptive variant 0.4039,adaptive variant is a drift sensitivity check only
9. one-day expiry vs two-day carry-over,how much of the cost is an artefact of the one-day expiry assumption?,mean cost (equal costs): one-day 0.3984 vs two-day carry-over 0.2579,sensitivity test on a hypothetical inventory rule; not a claim about real shelf life
10. excluded vs oracle target-day weather,how much accuracy is given up by excluding target-day weather and promotions?,median-forecast WAPE on final donors: contract model 33.48% vs oracle-weather model 33.40%,the oracle model is a leakage sensitivity only: those values are not knowable on the evening before the target day
